,dataset,sv paper,sv time,shap paper,shap time
1,cslg,5948032,2849,6226847,2858
2,cscv,4129984,2052,4323578,2074
3,csai,2518016,1146,2636049,1197
4,csit,2299904,1139,2407713,1176
5,cscl,1968000,772,2060251,920
6,cscr,1239936,456,1298059,549
7,csds,1217088,429,1274140,545
8,cssy,1139968,607,1193405,584
9,csni,1051008,467,1100275,506
10,csro,1029632,366,1077897,462
11,csdc,944256,390,988519,459
12,cssi,913856,361,956694,450
13,cslo,762752,264,798507,301
14,csna,741184,276,775928,335
15,cscy,703616,328,736599,328
16,csdm,668416,244,699749,305
17,csir,657472,252,688292,308
18,csne,629376,243,658879,291
19,csse,624704,252,653988,307
20,cscc,560128,220,586385,262
21,cshc,550912,208,576737,260
22,csgt,513920,207,538011,238
23,cssd,450944,176,472083,192
24,csdb,398720,190,417411,189
25,cscg,353856,137,370444,148
26,cspl,350144,149,366558,154
27,csma,291968,128,305655,134
28,csce,283904,136,297213,133
29,csfl,234048,101,245020,99
30,csdl,230592,96,241402,101
31,csmm,229120,114,239861,97
32,csgr,206912,83,433224,90
33,cspf,178880,101,187266,86
34,csar,164032,85,171722,79
35,cset,163200,84,170851,78
36,csoh,124416,80,130249,51
37,csms,106880,78,111891,47
38,cssc,114304,79,119663,49
39,csos,40512,26,42412,19
40,csgl,9536,13,9984,4
